                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9554,                 3.6372,                 4.1202,                0.16284,                0.47498,                0.10634,                0.02085,                 3.7304,                 9.0599,                 6.3081,              0.0033244,              0.0033244,              0.0033244
                      2,                 2.2908,                 2.6949,                 3.1444,                0.42871,                0.75572,                0.46724,                0.11644,                 3.1899,                 1.9019,                 3.1202,              0.0066248,              0.0066248,              0.0066248
                      3,                 1.5802,                 1.9461,                 2.2677,                0.39045,                0.50024,                0.45148,                0.16947,                 2.2958,                 2.5051,                 2.3991,              0.0098922,              0.0098922,              0.0098922
                      4,                 1.3342,                 1.5883,                 1.9362,                0.62211,                 0.7982,                0.60888,                 0.2888,                 2.0379,                  1.762,                 2.5317,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2229,                 1.4098,                  1.789,                0.65208,                0.89266,                0.78166,                0.39588,                 1.7739,                 1.1154,                 2.1198,               0.009802,               0.009802,               0.009802
                      6,                 1.1563,                 1.3082,                 1.7062,                0.68718,                0.96449,                0.80212,                0.49437,                 1.3728,                0.92309,                 1.6787,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1136,                 1.1997,                 1.6507,                 0.8997,                0.94271,                 0.9634,                0.64714,                 1.2206,                0.85018,                 1.5238,               0.009703,               0.009703,               0.009703
                      8,                 1.0664,                 1.0756,                 1.6014,                0.98579,                0.97039,                0.99415,                0.49257,                 1.9114,                0.73689,                 2.1875,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0409,                0.99376,                 1.5744,                0.99277,                0.99802,                0.99491,                0.64346,                 1.3031,                0.53868,                 1.5786,               0.009604,               0.009604,               0.009604
                     10,                 1.0048,                 0.9376,                 1.5393,                0.99065,                0.99192,                0.99472,                0.64053,                 1.3511,                0.55711,                 1.5889,              0.0095545,              0.0095545,              0.0095545
                     11,                0.97325,                0.89426,                 1.5111,                0.96993,                0.97952,                0.98625,                0.65523,                 1.2628,                0.57989,                 1.5656,               0.009505,               0.009505,               0.009505
                     12,                0.95764,                0.85744,                 1.4863,                 0.9507,                0.98636,                0.99443,                0.66686,                 1.2896,                 0.5588,                 1.6184,              0.0094555,              0.0094555,              0.0094555
                     13,                0.94124,                0.83644,                 1.4768,                 0.7247,                 0.7805,                0.77438,                0.50735,                 1.3561,                 1.4967,                 1.7353,               0.009406,               0.009406,               0.009406
                     14,                 0.9193,                0.81371,                  1.459,                0.99924,                0.99929,                  0.995,                0.67141,                 1.2279,                0.47411,                 1.5483,              0.0093565,              0.0093565,              0.0093565
                     15,                0.90339,                0.77855,                  1.432,                0.99872,                0.99164,                  0.995,                0.61338,                 1.4139,                0.52338,                 1.7342,               0.009307,               0.009307,               0.009307
                     16,                0.89722,                0.78083,                 1.4261,                0.99424,                0.99234,                0.99488,                0.66854,                 1.2462,                0.49131,                 1.5911,              0.0092575,              0.0092575,              0.0092575
                     17,                0.88731,                0.76447,                 1.4155,                 0.9893,                 0.9929,                 0.9949,                0.68011,                 1.2277,                0.45391,                 1.5498,               0.009208,               0.009208,               0.009208
                     18,                0.86521,                0.73515,                 1.3855,                0.98735,                 0.9901,                0.99494,                0.69546,                 1.1541,                 0.4559,                 1.4827,              0.0091585,              0.0091585,              0.0091585
                     19,                0.84691,                0.71818,                 1.3732,                0.99842,                      1,                  0.995,                0.73806,                 1.0138,                0.41232,                  1.357,               0.009109,               0.009109,               0.009109
                     20,                0.84681,                0.71405,                 1.3699,                0.98562,                0.99185,                0.99496,                 0.6065,                 1.4682,                0.53596,                 1.8575,              0.0090595,              0.0090595,              0.0090595
                     21,                0.83543,                0.69954,                 1.3559,                0.99833,                0.99839,                  0.995,                0.73277,                 1.0594,                0.42354,                 1.3711,                0.00901,                0.00901,                0.00901
                     22,                0.82952,                0.68126,                 1.3464,                0.98194,                0.98245,                0.99473,                0.69695,                 1.1514,                 0.4445,                 1.4796,              0.0089605,              0.0089605,              0.0089605
                     23,                0.81912,                0.65977,                  1.338,                0.99746,                0.99735,                  0.995,                0.80301,                0.83995,                0.36592,                 1.2092,               0.008911,               0.008911,               0.008911
                     24,                0.81528,                0.66267,                 1.3322,                0.99777,                 0.9994,                  0.995,                0.72185,                 1.0724,                 0.4118,                 1.3914,              0.0088615,              0.0088615,              0.0088615
                     25,                0.80576,                0.65092,                 1.3289,                  0.997,                0.99467,                0.99497,                0.68563,                 1.2108,                0.42274,                  1.522,               0.008812,               0.008812,               0.008812
                     26,                0.79745,                0.64546,                  1.321,                 0.9916,                0.99426,                  0.994,                0.72979,                 1.0641,                0.39975,                  1.404,              0.0087625,              0.0087625,              0.0087625
                     27,                0.78979,                0.62592,                  1.312,                0.99931,                      1,                  0.995,                0.81617,                0.77955,                0.33132,                 1.1518,               0.008713,               0.008713,               0.008713
                     28,                0.78433,                0.62133,                 1.3048,                0.99964,                      1,                  0.995,                0.76156,                0.95178,                 0.3512,                 1.2823,              0.0086635,              0.0086635,              0.0086635
